transaction_id,transaction_date,value_date,customer_id,account_id,account_type,txn_type,channel,direction,amount,currency,merchant_category,region,risk_score,is_fraud_suspected
TXN0000001,2024-02-21,2024-02-22,CUST00375,ACC00000496,CREDIT_CARD,WITHDRAWAL,POS,DEBIT,5239.52,SGD,RENT,MDN,0.104,0
TXN0000002,2024-01-15,2024-01-15,CUST00011,ACC00001048,SAVINGS,WITHDRAWAL,SWIFT,DEBIT,9663.31,IDR,FEE,DPS,0.175,0
TXN0000003,2024-03-12,2024-03-12,CUST00476,ACC00001133,CREDIT_CARD,INTEREST,SWIFT,DEBIT,17712.68,USD,INSURANCE,OTHERS,0.127,0
TXN0000004,2024-03-01,2024-03-02,CUST00302,ACC00000502,CURRENT,WITHDRAWAL,ATM,DEBIT,7490.05,IDR,FEE,BDG,0.313,0
TXN0000005,2024-01-21,2024-01-21,CUST00096,ACC00000025,SAVINGS,FEE,MOBILE,DEBIT,6982.72,IDR,RENT,JKT,0.059,0
TXN0000006,2024-03-23,2024-03-23,CUST00190,ACC00001211,SAVINGS,WITHDRAWAL,POS,CREDIT,12980.71,IDR,GROCERY,OTHERS,0.206,0
TXN0000007,2024-03-27,2024-03-27,CUST00453,ACC00000288,CURRENT,FEE,ATM,CREDIT,6526.25,IDR,TRANSPORT,SBY,0.3,0
TXN0000008,2024-03-15,2024-03-15,CUST00192,ACC00000338,CURRENT,FEE,SWIFT,DEBIT,20211.74,IDR,E_COMMERCE,JKT,0.137,0
TXN0000009,2024-03-15,2024-03-16,CUST00486,ACC00001061,CREDIT_CARD,PAYMENT,POS,DEBIT,41002.64,IDR,GROCERY,BDG,0.235,0
TXN0000010,2024-03-28,2024-03-28,CUST00266,ACC00000137,CREDIT_CARD,TRANSFER_IN,INTERNET,CREDIT,3966.53,SGD,E_COMMERCE,JKT,0.03,0
TXN0000011,2024-01-24,2024-01-25,CUST00424,ACC00000508,CURRENT,TRANSFER_OUT,BRANCH,CREDIT,2980.9,USD,UTILITIES,SBY,0.235,0
TXN0000012,2024-01-03,2024-01-04,CUST00128,ACC00000227,SAVINGS,PAYMENT,INTERNET,CREDIT,10909.35,USD,LOAN_REPAYMENT,BDG,0.289,0
TXN0000013,2024-01-22,2024-01-23,CUST00238,ACC00000320,LOAN,DEPOSIT,MOBILE,CREDIT,2897.48,SGD,INSURANCE,OTHERS,0.134,0
TXN0000014,2024-02-22,2024-02-22,CUST00408,ACC00000916,CREDIT_CARD,WITHDRAWAL,BRANCH,CREDIT,2858.17,USD,RETAIL,BDG,0.145,0
